HM003,HM008,HM011,HM012,HM013,HM031,HM032,HM038,HM046,HM051,HM052,HM054,HM055,HM056,HM057,HM058,HM063,HM064,HM065,HM068,HM070,HM071,HM081,HM082,HM083,HM085,HM086,HM087,HM088,HM089,HM092,HM093,HM101,HM117,HM118,HM119,HM120,HM121,HM122,HM124,HM125,HM139,HM152,HM154,HM155,HM164,HM168,HM169,HM170,HM172,HM173,HM175,HM176,HM177,HM178,HM179,HM180,HM181,HM189,HM190,HM193,HM201,HM205,HM256,HM259,HM262,HM270,HM271,HM276,HM277,HM288,HM294,HM299,HM304,HM305,HM306,HM307,HM308,HM309,HM311
HM052,0.695816123167554,0.831891182397132,0.737014545964236,0.704432591339821,0.703206931042238,0.692547309765549,0.704467394207795,0.699604663938467,0.70253586908891,0.724960221888375,1,0.715007214614099,0.736143180224779,0.689851756128199,0.693140456883333,0.686809195421713,0.681781781522715,0.719133023099706,0.689609293877733,0.683541539845061,0.702593351712335,0.711607907484033,0.734586381876137,0.905677076515501,0.847179244577529,0.724338401566252,0.728680110426571,0.733139917472933,0.730934600711668,0.692021180303511,0.68055462286291,0.691785869327286,0.689757359308214,0.680582138241895,0.682890433352235,0.695571753910623,0.6816729459395,0.692678756996841,0.692630128332,0.682444330054326,0.682234082591633,0.697659925989079,0.702152833219072,0.6971761593135,0.698777704206679,0.756965988131064,0.730638810387573,0.692155351829752,0.688150502039884,0.690249843727631,0.688712455980502,0.690848779972182,0.691221599735961,0.692733855862185,0.692435954209506,0.693611487480026,0.691075509419318,0.674949726542084,0.682994297097168,0.695879939776736,0.699580145283925,0.698858411444545,0.69416077344913,0.689463135453716,0.695811423758767,0.698781994971224,0.68467702597983,0.687183785977209,0.738117340559617,0.731356525891903,0.68617184661838,0.82454811779143,0.698048750985684,0.697604895231108,0.705325410902002,0.705391134517648,0.695928500334203,0.731436892592901,0.697976080417918,0.730710595559481
HM054,0.765949895584585,0.714599455767598,0.772494605555464,0.766014529482252,0.736493660769976,0.762891533967395,0.741706667262379,0.741299248952747,0.714222617668769,0.772722084183711,0.715007214614099,1,0.769919193325368,0.698627186910744,0.758806249369155,0.705592187484889,0.704291064217217,0.727404595531421,0.734605179511286,0.709682716350905,0.716097341237966,0.719885609579384,0.776441564077665,0.713545834696048,0.717793555380626,0.777929029119853,0.778652193214081,0.773158107590308,0.772016355577156,0.762101828969036,0.702432141558724,0.751887698023892,0.709257930660973,0.701048472154096,0.70362769839712,0.764324172573733,0.698867810262119,0.760494835485958,0.764526792010569,0.713162458289342,0.703065199597513,0.764446357202198,0.771018037693073,0.77409260886521,0.766352137733814,0.752770369587388,0.771821091736682,0.751364429071551,0.714491233150747,0.731342904417158,0.732962838301244,0.756414045974384,0.754844852083725,0.755657373052282,0.761913171543813,0.757187064666181,0.75275688432739,0.695385003491865,0.720270348133565,0.763168594763714,0.768803866973222,0.765470487780924,0.733483859710252,0.708933603347287,0.76723188068024,0.765138123797139,0.718452358006682,0.695977197106417,0.776004042308845,0.770370268461559,0.73900416667291,0.71605300333767,0.767277376405889,0.766156124712229,0.770916830135715,0.714207021080186,0.768828385627764,0.752510744278742,0.767133329310458,0.778144997601939
HM055,0.747992501105723,0.733887395899582,0.786233837949946,0.754614921590024,0.734473527957873,0.745110673801232,0.739547731622621,0.731855821048693,0.711405764798813,0.777448122953969,0.736143180224779,0.769919193325368,1,0.69858380251368,0.744019934211001,0.701885307455074,0.699800949389547,0.725785887580062,0.724507920819457,0.704552255995458,0.709807557166946,0.717980305799384,0.781643809605019,0.736051848236612,0.736106334135593,0.786888894670448,0.783854030097193,0.785028882293976,0.782495151776601,0.743826236840123,0.696970406937472,0.73617226207336,0.706156525183587,0.695568893400927,0.697239975922681,0.744143072342699,0.695808495141697,0.741866038516899,0.746092918345116,0.704138571807443,0.700787757127471,0.74919391517826,0.751824630595821,0.752996281746039,0.749632662879806,0.768038067663041,0.777206546099361,0.735830431164627,0.709258475519962,0.720826512947416,0.723164707194822,0.739668009244623,0.739759000695921,0.738887362526969,0.742289598274105,0.739590366838574,0.736787407872858,0.692975432716794,0.711964313370744,0.746082157380067,0.750900685963847,0.749434129885393,0.725699255000682,0.705686039445884,0.749689668751615,0.749698658924947,0.710902996165964,0.694486394802917,0.776710928740753,0.782826221720286,0.726915175943822,0.734122502553686,0.750610616659145,0.750019512762573,0.755814360548722,0.71349250662242,0.749944049792484,0.749629325618493,0.751369400909833,0.774805624960753
HM056,0.691921811645244,0.695823478763917,0.697475695543149,0.69932051997528,0.741095812227426,0.685969840147907,0.727879644463163,0.726105447377587,0.721283445317747,0.697969746432161,0.689851756128199,0.698627186910744,0.69858380251368,1,0.69879289215102,0.767391592471629,0.753164643173891,0.71902929556952,0.711195857872988,0.74564667883246,0.717103559577402,0.726338647025227,0.696537720792187,0.690084206594728,0.692276446740238,0.693064517161628,0.695562831844665,0.698725193421536,0.696714255104886,0.689000141527123,0.753543592601305,0.700104163417377,0.798472596793859,0.79714593326104,0.782501213332863,0.691965536579176,0.79750799205977,0.697547685037178,0.685777368709756,0.751231892122279,0.750372308958476,0.686229669778674,0.689445699966042,0.687798523132465,0.689548814529864,0.696597314744198,0.697116701576236,0.705985711890281,0.764778040112246,0.715186064577505,0.713366303658905,0.693169811161409,0.694908864842143,0.690256450142883,0.692437929323344,0.695940827768847,0.701817336296095,0.751905405941061,0.737447436431642,0.689291709194046,0.694512071282812,0.689738221136197,0.713911162648718,0.795106730384293,0.689722692654988,0.689539483819663,0.743114582892054,0.759233555031916,0.701918748175574,0.697004460624335,0.705961601879981,0.696240568320618,0.689306829031013,0.688386902734089,0.690048177794027,0.740906201298971,0.689203373930323,0.724293450699592,0.688154520374934,0.710378296958774
HM057,0.801355037064714,0.693522062498323,0.740630366435379,0.781220249847814,0.729981301801617,0.798014438490801,0.73587783389674,0.74648392277768,0.713877381391349,0.750002622133888,0.693140456883333,0.758806249369155,0.744019934211001,0.69879289215102,1,0.709978779104494,0.706435152449502,0.720356367746582,0.743938137255156,0.71793344792626,0.717158249798504,0.714088650464649,0.741247827885583,0.692773017602078,0.696476696585328,0.746712763553401,0.753494759614343,0.742790051256247,0.742714724500906,0.805805717722996,0.710444361111289,0.782615906150218,0.710163145765172,0.702149427850386,0.707602104190933,0.789897469797445,0.69804173592619,0.804892602163444,0.800826864381464,0.721400794322678,0.715935926762234,0.785176402865468,0.790495588753511,0.793249510410144,0.778998110565238,0.722224280578406,0.741555060248464,0.78589561673202,0.717964096244437,0.757078433405087,0.760697999781784,0.793344247766998,0.796435096601456,0.794669208615474,0.806248824296461,0.794888923003116,0.786906943124486,0.704380693521041,0.730090682243822,0.791316486929037,0.783152796577305,0.78805550587501,0.740467521704798,0.709571973761226,0.785367580263518,0.776191473801341,0.733792386113233,0.690269867295507,0.738944436506152,0.73687553881446,0.758836420935716,0.69505556812515,0.783941003213442,0.784481980082952,0.78404622910585,0.711261581488634,0.787386078498652,0.752916323689284,0.783305765738695,0.74786616192746
HM058,0.701339631176777,0.689423088317965,0.698322610735438,0.709927766681573,0.740052066725067,0.701059369333892,0.731185644491224,0.770786268300281,0.717901846104851,0.707245493982101,0.686809195421713,0.705592187484889,0.701885307455074,0.767391592471629,0.709978779104494,1,0.767431162855764,0.718681062567656,0.724035800504785,0.762700697106213,0.715150035776803,0.727253533376495,0.701023340533191,0.685075113579262,0.688381999003181,0.698139810544356,0.699991650035981,0.70199891055445,0.699588045739278,0.703442514447958,0.771005710258428,0.716049393646862,0.803624987723646,0.781077292470362,0.785958547945344,0.705762115382336,0.789015070663443,0.710712363626903,0.699026909087145,0.779424054080524,0.761737045875356,0.699239880844787,0.698460051415619,0.699621214030282,0.69646082756725,0.693779644585757,0.699030314455831,0.709324675887225,0.784432534129627,0.729715206292468,0.728241430832399,0.708626302877033,0.708740450835398,0.703881125934757,0.705303344112914,0.703667268781255,0.709281155275413,0.765663844614934,0.744964515377215,0.703820714694261,0.704959265660848,0.699804150436112,0.726207336008682,0.802670803417737,0.698178018781017,0.700401179674199,0.750527048911583,0.766291181634329,0.704851383580865,0.699502026126261,0.724071148231749,0.692422945701124,0.699507610930907,0.699292595952052,0.699162102223992,0.741482049143829,0.699015535155732,0.726034343279416,0.698265672971003,0.715431114908173
HM063,0.698677450152554,0.68369267010736,0.694719730665304,0.707121879098787,0.725387595658509,0.700619395699619,0.721528972400032,0.740209599080496,0.71185091459349,0.703506126735018,0.681781781522715,0.704291064217217,0.699800949389547,0.753164643173891,0.706435152449502,0.767431162855764,1,0.726483443301769,0.726627694719322,0.78042863784299,0.708726693145906,0.717995153206856,0.697855530366422,0.680159940632164,0.683184180455118,0.696044010440043,0.699293140811042,0.700436936045405,0.697773392873708,0.702909778570669,0.777733901494126,0.713791089348838,0.770686218568277,0.762055447847528,0.763460639182254,0.70534366367816,0.764152065240326,0.707980576866731,0.696137385649422,0.756085972755144,0.780764066658594,0.699496781858484,0.696041831004084,0.699931783654476,0.696372287981405,0.691662731195588,0.695517063689521,0.701005496401275,0.761544097685589,0.725264116989943,0.727717957557937,0.700267348684826,0.700019574059209,0.698213911366971,0.69982001945419,0.698011496252256,0.702819944944723,0.780903959204228,0.776230703648607,0.704330294064483,0.703373453570999,0.698953761767762,0.727814533813881,0.769990706067781,0.700815953580194,0.697948088287316,0.762669776358541,0.765008719787058,0.700550675359529,0.698016740520032,0.736494069414218,0.688124280700999,0.70045566557318,0.700672178914257,0.698130139297287,0.748371791070006,0.699544729449588,0.718287129518022,0.699139626790662,0.710751593474169
HM064,0.719722015667693,0.723893796630565,0.720016648166434,0.732887239116408,0.71978283555243,0.724045539859227,0.721896003037044,0.743130383802759,0.726694167516079,0.72768036228764,0.719133023099706,0.727404595531421,0.725785887580062,0.71902929556952,0.720356367746582,0.718681062567656,0.726483443301769,1,0.730364678208324,0.720306513149014,0.724059638085589,0.733233973756049,0.722942949585968,0.718467273521529,0.721478028084484,0.720211707684787,0.723799195488459,0.723477864899217,0.722912573697286,0.721601779182545,0.713314746376994,0.728803793417259,0.717948703977975,0.711779333743703,0.714276422494013,0.729409336077062,0.712777379198292,0.721940204722593,0.717176911218905,0.711178490492687,0.716876693915519,0.719965431421391,0.719333394993209,0.723381220535899,0.721141373336154,0.718708101195026,0.721094992214646,0.718804609343596,0.714413863174193,0.721307555328047,0.718778660434206,0.71531519615809,0.713268297148113,0.719014652484169,0.717206401711729,0.713902785441749,0.71666324540626,0.71092833210899,0.722597304664306,0.724558252168641,0.725357764628817,0.7214022926849,0.735267728042898,0.717587734897224,0.718277117734084,0.721471489776606,0.727255508490333,0.71618111330765,0.724213015891221,0.721064888755459,0.735831861419475,0.727924799651944,0.722079824838732,0.720561915800488,0.722931371332435,0.74866921597107,0.722997299270202,0.760108394247433,0.721451942960347,0.730766239283816
HM065,0.744412164576292,0.691555734511464,0.722335704241823,0.747606468511441,0.728944094607136,0.736532209543505,0.727332061178402,0.791226312766223,0.714041996913646,0.729552906420877,0.689609293877733,0.734605179511286,0.724507920819457,0.711195857872988,0.743938137255156,0.724035800504785,0.726627694719322,0.730364678208324,1,0.727302093933962,0.711836543937633,0.719035765770024,0.722026360550357,0.688679696333739,0.693898219523415,0.724489395613803,0.728563987354368,0.723840877201179,0.723421880638013,0.744225550372282,0.725934361654786,0.738189943020009,0.72771748080632,0.712070833303253,0.723083795634835,0.741529451875943,0.716089713212109,0.739421732981227,0.740796820856766,0.722010014780662,0.726380533060068,0.739436920925568,0.740674568120927,0.747519018643576,0.74162425734017,0.709312688989449,0.723065338536555,0.739818049788942,0.728423686164491,0.7455081484343,0.739672368116541,0.737586034937176,0.742188050179878,0.739482552865965,0.743306509471216,0.737669534577365,0.73695393040162,0.723229341092489,0.746634984932606,0.748750399960552,0.743288529124552,0.742959093757837,0.927016683173624,0.726345798299468,0.738482396082791,0.742440387999535,0.733148022250407,0.744319402333277,0.721906491572598,0.71856344113323,0.767744661097027,0.69310531347849,0.742088681521611,0.740690232816884,0.742475599511752,0.729898551342539,0.748413608997474,0.734074623069956,0.742672974680811,0.731024366230239
HM068,0.708496626437457,0.684082652929319,0.698858751981414,0.716066965349284,0.730903884286117,0.70553756537116,0.724692832339125,0.735456794112363,0.715566171830273,0.709128390436145,0.683541539845061,0.709682716350905,0.704552255995458,0.74564667883246,0.71793344792626,0.762700697106213,0.78042863784299,0.720306513149014,0.727302093933962,1,0.71351791067282,0.71850677579829,0.700565114122759,0.68194271924683,0.684801185722134,0.701923720013856,0.704766658007949,0.702721257360194,0.700820925418476,0.711926922422568,0.778931773983228,0.715340668315864,0.767225138050241,0.764091994536699,0.762145758225089,0.711165618199053,0.760029798338153,0.716507483842547,0.707245970733717,0.753935278107607,0.773711139464968,0.711898725969846,0.708398415604544,0.712632174277507,0.707047301524556,0.692955000504676,0.699934644164172,0.70833017201607,0.763478210884675,0.719820703252222,0.724452208987749,0.707048663672031,0.705945869076651,0.705860462429998,0.708515015428363,0.70597747089806,0.708778931501554,0.76698989518139,0.759436242576126,0.717460169786234,0.715701160644999,0.710043140572666,0.728298913455824,0.766802327474147,0.708297684798802,0.710810710674564,0.775887101948157,0.752688504524168,0.704159412663803,0.70108089126399,0.741146347898731,0.687455330076257,0.710410239317052,0.709528861793657,0.710227643448091,0.737112552475029,0.710515737638954,0.72446228887906,0.707512202457614,0.714349024954406
